Site.Code,Site,Subsite,Subsite.Name,Ocean,Coast,First.Year.In.ZEN,Latitude,Longitude,Sampling.Time,Month,Date.Collected,Temperature.C,Salinity.ppt,Day.length.hours,Depth.Categorical,Depth.m,Perc.Silt,Perc.Sand,Perc.Gravel,GenotypicRichness,AllelicRichness,Inbreeding,NOTES,Mean.Shoots.Zmarina.per.m2,SD.Shoots.Zmarina.per.m2,SE.Shoots.Zmarina.per.m2,Std.Total.Abund.Mesograzers1,Std.Total.Abund.Molluscs1,Std.Total.Abund.Crustacean1s,Std.Total.Abund.Amphipods1,Std.Abund.Gammarids1,Std.Abund.Caprellids1,Std.Abund.Isopods1,Std.Abund.Gastropods1,Std.Abund.Polychaetes1,SE.Std.Total.Abund.Mesograzers,SE.Std.Total.Abund.Molluscs,SE.Std.Total.Abund.Crustaceans,SE.Std.Total.Abund.Amphipods,SE.Std.Abund.Gammaridss,SE.Std.Abund.Caprellids,SE.Std.Abund.Isopods,SE.Std.Abund.Gastropods,SE.Std.Abund.Polychaetes,SD.Std.Total.Abund.Mesograzers,SD.Std.Total.Abund.Molluscs,SD.Std.Total.Abund.Crustaceans,SD.Std.Total.Abund.Amphipods,SD.Std.Abund.Gammaridss,SD.Std.Abund.Caprellids,SD.Std.Abund.Isopods,SD.Std.Abund.Gastropods,SD.Std.Abund.Polychaetes,Std.Total.Biomass.Mesograzers1,Std.Total.Biomass.Molluscs1,Std.Total.Biomass.Crustacean1s,Std.Total.Biomass.Amphipods1,Std.Biomass.Gammarids1,Std.Biomass.Caprellids1,Std.Biomass.Isopods1,Std.Biomass.Gastropods1,Std.Biomass.Polychaetes1,SE.Std.Total.Biomass.Mesograzers,SE.Std.Total.Biomass.Molluscs,SE.Std.Total.Biomass.Crustaceans,SE.Std.Total.Biomass.Amphipods,SE.Std.Biomass.Gammaridss,SE.Std.Biomass.Caprellids,SE.Std.Biomass.Isopods,SE.Std.Biomass.Gastropods,SE.Std.Biomass.Polychaetes,SD.Std.Total.Biomass.Mesograzers,SD.Std.Total.Biomass.Molluscs,SD.Std.Total.Biomass.Crustaceans,SD.Std.Total.Biomass.Amphipods,SD.Std.Biomass.Gammaridss,SD.Std.Biomass.Caprellids,SD.Std.Biomass.Isopods,SD.Std.Biomass.Gastropods,SD.Std.Biomass.Polychaetes,Mean.Grazer.Richness,SE.Grazer.Richness,SD.Grazer.Richness,Total.Grazer.Richness,Mean.Site.Std.Periphyton,SD.Site.Std.Periphyton,SE.Site.Std.Periphyton,Mean.Site.Std.SessileInvertebrate,SD.Site.Std.SessileInvertebrate,SE.Site.Std.SessileInvertebrate,Mean.Site.Std.TotalEpibiota,SD.Site.Std.TotalEpibiota,SE.Site.Std.TotalEpibiota,Mean.Pred.Amphipod,Mean.Pred.Gastropod,Mean.Pred.Isopod,Mean.Pred.Lettuce,Mean.Pred.Shrimp,Mean.Pred.Squid,SE.Pred.Amphipod,SE.Pred.Gastropod,SE.Pred.Isopod,SE.Pred.Lettuce,SE.Pred.Shrimp,SE.Pred.Squid,Mean.Macroalgae.g.m2,SD.Mean.Macroalgae.g.m2,SE.Mean.Macroalgae.g.m2,Sheath.Width.cm.,Shealth.Length.cm.,Longest.Leaf.Length.cm.,SD.Sheath.Width.cm.,SD.Shealth.Length.cm.,SD.Longest.Leaf.Length.cm.,SE.Sheath.Width.cm.,SE.Shealth.Length.cm.,SE.Longest.Leaf.Length.cm.,Site.Code,Site,Below.Zmarina.g,Below.OtherSeagrass.g,Above.Zmarina.g,Above.OtherSeagrass.g,Macroalgae.g,TOTAL.Seagrass.Biomass,Total.Seagrass.Biomass.Above,Total.Seagrass.Biomass.Below,SD.Below.Zmarina.g,SD.Below.OtherSeagrass.g,SD.Mean.Above.Zmarina.g,SD.Above.OtherSeagrass.g,SD.Macroalgae.g,SD.Mean.Total.Seagrass.Biomass.Above,SD.Mean.Total.Seagrass.Biomass.Below,SE.Below.Zmarina.g,SE.Below.OtherSeagrass.g,SE.Mean.Above.Zmarina.g,SE.Above.OtherSeagrass.g,SE.Macroalgae.g,SE.Mean.Total.Seagrass.Biomass.Above,SE.Mean.Total.Seagrass.Biomass.Below,Mean.Leaf.PercN,Mean.Leaf.PercC,SD.Mean.Leaf.PercN,SD.Mean.Leaf.PercC,SE.Mean.Leaf.PercN,SE.Mean.Leaf.PercC
BB,BB.A,A,"Westside Park, Bodega Bay",Pacific,East.Pacific,2011,38.319755,-123.055136,1,July,2014-07-01,13,33,14.5,Intertidal,0.82,29.455,69.68,0,1,6.72,0.1301,,327.062643237,215.422572703802,48.1699516453591,6.69057423521317,0.235207051009395,6.45536718420378,6.26808895064387,1.53924980900133,4.72883914164254,0.119131145488583,0.235207051009395,0,1.3037457975363,0.0859039759722367,1.28868106478598,1.29039306197554,0.265137152336435,1.13907701476335,0.0537450087626554,0.0859039759722367,0,5.83052845734167,0.38417425962286,5.76315692435654,5.77081320854283,1.18572939196997,5.09410727323675,0.240354986089239,0.38417425962286,0,3.62383951544025,0.330539379933461,3.29330013550678,2.35381319092781,0.676395084919101,1.67741810600871,0.932327168205222,0.330539379933461,0,0.804771837963034,0.150099783671267,0.819572605357734,0.522298219434862,0.219682325150578,0.39978643557155,0.539405561909181,0.150099783671267,0,3.59904907212558,0.671266639393932,3.66524011615301,2.33578864636691,0.982449224983807,1.78789929284065,2.4122950077408,0.671266639393932,0,6.35,0.493510518204979,2.20704613263496,22,0.336948400217078,0.24731640336116,0.0553016289866311,0,0,0,0.336948400217078,0.24731640336116,0.0553016289866311,0.473684210526316,0.1875,NA,0.2,NA,0.35,0.117687788289463,0.100778221853732,NA,0.0917662935482247,NA,0.109424330980483,51.79235,80.1529187066001,17.9227374822972,0.74425,14.72,67.811875,0.0936788326368904,5.06399734191749,21.2783442834277,0.0209472237828913,1.13234422944057,4.75798242663883,BB,BB.A,63.45775,0,186.85,0,NA,250.30775,186.85,63.45775,40.7503524839453,0,133.650476991292,0,NA,133.650476991292,40.7503524839453,9.11205582611792,0,29.8851551777802,0,NA,29.8851551777802,9.11205582611792,2.95128000975,35.2364868165,0.297687568228478,0.297687568228478,0.0665649638615484,0.269222680358486
BB,BB.B,B,"Sacramento Landing, Tomales Bay",Pacific,East.Pacific,2014,38.1496437,-122.9063846,1,July,2014-07-01,18.4,34,14.5,Intertidal,1.6,NA,NA,NA,0.95,6.54,0.0757,,389.928698771,253.361406574426,56.6533327975379,5.14774126243252,0.600590822914935,4.54715043951759,3.6447600890918,0.337841859393203,3.3069182296986,0.0309164042876853,0.600590822914935,0,0.634595868548109,0.131787123941537,0.57640286645816,0.496286538402199,0.0793897124177125,0.48049720068943,0.0174429578282325,0.131787123941537,0,2.83799900062818,0.589369935384932,2.57775198365236,2.21946087237075,0.355041587360328,2.14884880747985,0.0780072788651801,0.589369935384932,0,4.3143239340063,NA,NA,NA,NA,NA,NA,NA,NA,0.923022825545614,0.891659498334647,0.281913872480507,0.224093826521983,0.02213521131595,0.216486950309507,0.142014583244208,0.891659498334647,0,4.12788356540785,NA,NA,NA,NA,NA,NA,NA,NA,4.65,0.498814383787882,2.23076574060875,17,0.141452707605074,0.0601042797277839,0.0134397255209987,0.375009244230137,0.809882385513023,0.181095206778681,0.51646195183521,0.822608779782878,0.183940915048267,0.85,0.15,NA,0.25,NA,0.35,0.0819178021909125,0.0819178021909125,NA,0.0993399267798783,NA,0.109424330980483,0,0,0,0.823125,17.06125,73.30875,0.0890626442750447,4.02134498153619,14.2873247905636,0.0199150126854883,0.899200073969256,3.19474294483181,BB,BB.B,183.45,0,241.05,0,0,424.5,241.05,183.45,54.924325930751,0,69.8805183302561,0,0,69.8805183302561,54.924325930751,12.2814526399514,0,15.6257589289373,0,0,15.6257589289373,12.2814526399514,2.07589790215,32.90232319835,0.453184069125382,0.453184069125382,0.101335038488432,1.53528714368235
BC,BC.A,A,Tsawwassen,Pacific,East.Pacific,2011,49,-123.1,1,May,2014-05-16,24.5,26,14,Intertidal,0.5,13.895,86.04,0,1,5.2,0.0372,,75.0300119992857,40.6622721132344,10.867449343964,5.90894550629006,1.69818024090115,3.18082954449239,2.88076823958918,1.66895023298792,1.21181800660126,0.13963949420495,1.69818024090115,1.02993572089652,0.557444588921497,0.241216802745186,0.376888312116983,0.346655159609302,0.18868360286438,0.245039734855638,0.0396595209391507,0.241216802745186,0.221155576966126,2.29840292055235,0.994562356392181,1.55395031991908,1.4292958387345,0.777962424431933,1.01032470928314,0.163520393893514,0.994562356392181,0.911847803525754,20.6256019638834,9.3412602139849,4.0860912478088,2.18299379491905,1.87802127132447,0.304972523594573,1.83974455188009,9.3412602139849,7.1982505020897,3.38472144384614,2.0535412810337,0.793330409316069,0.461148060806205,0.45026137989561,0.0623744611592403,0.653604230628364,2.0535412810337,2.04082553125891,13.9555640262707,8.46696760826816,3.27098507362465,1.90136216375274,1.85647522844596,0.257176491700534,2.69487928023131,8.46696760826816,8.41453922883777,8.3,0.465097612844534,2.07997975698652,20,0.0146094334953704,0.0081300267864129,0.00181792925533134,0,0,0,0.0146094334953704,0.0081300267864129,0.00181792925533134,0.947368421052632,0.25,NA,0.45,NA,0.55,0.0526315789473684,0.0993399267798783,NA,0.114132886537902,NA,0.114132886537902,84.7645,23.0986559109992,5.16501648058715,0.7545,16.7416,59.6941,0.107236825960606,3.79300889310293,12.8610807186889,0.0239788832539229,0.848142572423938,2.87582507511002,BC,BC.A,75.8125,0,45.4375,0,0,121.25,45.4375,75.8125,33.0226518576914,0,18.5615530061469,0,0,18.5615530061469,33.0226518576914,11.675270530668,0,6.5625,0,0,6.5625,11.675270530668,2.7535080612,35.4343316075,0.430937704308907,0.430937704308907,0.0963606000902419,0.856978444888878
BC,BC.B,B,White Rock,Pacific,East.Pacific,2014,49,-122.8,1,May,2014-05-29,22.5,26,14,Intertidal,0.5,NA,NA,NA,0.95,6,0.0775,,210.084033609,134.809998644389,30.1444321015508,41.2151470600651,13.2263871393727,24.5234294346888,23.1301302108703,1.05918551399553,22.0709446968748,0.067374128367504,13.2263871393727,3.46533048600366,3.23924972795359,1.82058181711487,2.22833186706506,2.20257209302368,0.259543563541863,2.10875954244141,0.0328979442794233,1.82058181711487,0.621272717734293,14.4863651756038,8.1418894033379,9.96540306237302,9.85020185068988,1.16071410240428,9.43065937020071,0.147124079457582,8.1418894033379,2.77841605883984,64.9151926940113,17.8093903349733,15.4287139688319,12.8181530579823,0.525506819414789,12.2926462385675,2.05903531680559,17.8093903349733,31.6770883902061,10.0891247193978,4.66949387721773,1.9823529447123,1.66332721203764,0.152217179739514,1.67189384622018,1.06173494318054,4.66949387721773,5.23364625289503,45.1199374120938,20.8826114599558,8.86535187954718,7.43862542988274,0.680735922481715,7.47693658262382,4.74822301407711,20.8826114599558,23.4055775833207,7.85,0.371872926796521,1.66306628661765,14,0.0292714193723686,0.0129404912117471,0.00289358180117051,0,0,0,0.0292714193723686,0.0129404912117471,0.00289358180117051,0.263157894736842,0.294117647058824,NA,0.368421052631579,NA,0.25,0.103790873387713,0.113911274888453,NA,0.113697205235226,NA,0.0993399267798783,0.14385,0.424430674396209,0.0949055839686003,0.5535,9.987,50.169,0.0461433692562191,1.83739260337778,10.5728679075014,0.010317971036778,0.410853476250802,2.36416513582992,BC,BC.B,253.175,0,70.35,0,0,323.525,70.35,253.175,61.0882181335881,0,38.1186168081742,0,0,38.1186168081742,61.0882181335881,13.6597408371038,0,8.52358183913436,0,0,8.52358183913436,13.6597408371038,1.97843164205,36.053584671,0.248517288060305,0.248517288060305,0.0555701549686739,0.291417153339776
CR,CR.A,A,Posedarje,Atlantic,East.Atlantic,2014,44.21154996,15.4906946,1,May,2014-05-17,17,25,14.85,Subtidal,3,NA,NA,NA,0.84,4.06,-0.1127,,332.63305322675,74.9886617652712,16.7679745248886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.309004067910004,0.178517463829243,0.0399177184293047,0,0,0,0.309004067910004,0.178517463829243,0.0399177184293047,0.8,0.4,NA,0,NA,0.842105263157895,0.0917662935482247,0.112390297389803,NA,0,NA,0.085947008518708,0,0,0,0.529458333333333,9.68841666666667,47.2617916666667,0.0365811153066172,1.33333503015243,5.69439756397405,0.00817978605183541,0.298142776420256,1.27330600439552,CR,CR.A,43.9473684210526,23.6315789473684,80.325,24.216,0,144.525,104.541,64.2,14.0038632931953,14.4682047044,28.3712581581023,12.2142050175411,0,31.9032903599217,27.0751391112721,3.21270657443142,3.31923380004943,6.34400618487121,2.73117927103409,0,7.13379259506987,6.05418515530677,1.5283031107,34.835531807,0.109536086185863,0.109536086185863,0.0244930134700866,0.190846965059113
CR,CR.B,B,Sveti Duh,Atlantic,East.Atlantic,2014,44.20557132,15.47773378,1,June,2014-06-05,19,20,15.383,Subtidal,3,NA,NA,NA,1,6.13,0.0594,,447.2243442825,98.9079428769579,22.1164883787544,0.739226149057629,0.706117951467905,0.0331081975897232,0,0,0,0.0331081975897232,0.706117951467905,0,0.204895406946235,0.208199058478853,0.0331081975897232,0,0,0,0.0331081975897232,0.208199058478853,0,0.916320116418528,0.931094495220339,0.148064360846232,0,0,0,0.148064360846232,0.931094495220339,0,8.86662713138853,NA,NA,NA,NA,NA,NA,NA,NA,2.81102828017679,3.91985342918594,2.04205844700481,0,0,0,2.04205844700481,3.91985342918594,0,12.5713006422993,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.131289154560699,0.5871429486124,3,0.294211100598598,0.251299376758618,0.0561922489135601,0,0,0,0.294211100598598,0.251299376758618,0.0561922489135601,0.85,0.15,NA,0,NA,0.8,0.0819178021909125,0.0819178021909125,NA,0,NA,0.0917662935482247,0,0,0,0.4685,5.18391666666667,27.60055,0.03166851333489,0.550648547713889,3.12371043291683,0.00708129485631726,0.123128758439979,0.698482887002733,CR,CR.B,39.1578947368421,3.21052631578947,39.5,1.42105263157895,0,81.8684210526316,40.9210526315789,42.3684210526316,12.2667715479879,8.20622356892364,10.7380424452297,3.0833926025598,0,10.0308733943078,16.2786858817009,2.81419039690418,1.88263680237052,2.46347588790562,0.707378776727317,0,2.30124018111781,3.73458666799876,1.49618861665,36.6885850915,0.28467100235268,0.28467100235268,0.0636543712483594,0.336668277301489
ES,ES.A,A,South Bay,Atlantic,West.Atlantic,2014,37.265686,-75.812668,1,June,2014-06-24,28.05,35.42,14.683,Shallow.Subtidal,NA,NA,NA,NA,1,6.09,0.0623,,725.744843395,217.02104055979,48.5273799239428,10.1857424614825,0.527581709993058,8.12577703307563,6.64586806107454,6.52986996240543,0.11599809866911,1.30739460505591,0.527581709993058,1.53238371841384,1.97582163109632,0.135179276152549,1.94990925191137,1.96649757958701,1.97283203492605,0.080491165087409,0.372134766992969,0.135179276152549,0.30238965009054,8.83614295709175,0.60454010125263,8.72025927445915,8.79444453109071,8.82277307656779,0.359967433447209,1.66423727157465,0.60454010125263,1.35232762658965,13.7252050835394,3.17456154851463,7.73542813906843,2.41171335124088,2.4009636028341,0.0107497484067751,5.32371478782755,3.17456154851463,2.81521539595638,3.17195785700351,1.2576761288061,2.00408626504265,0.406987844601862,0.406971008811565,0.00739965391570666,1.90458207942757,1.2576761288061,0.800338560395176,14.1854267800488,5.62449863537845,8.96254624281805,1.82010497309177,1.82002968114865,0.0330922583309852,8.51754999665589,5.62449863537845,3.57922285211587,4.35,0.378883401033811,1.69441808051583,11,0.1105026951072,0.0313512492446225,0.00701035244905149,0,0,0,0.1105026951072,0.0313512492446225,0.00701035244905149,NA,0.25,NA,0.263157894736842,0.947368421052632,1,NA,0.0993399267798783,NA,0.103790873387713,0.0526315789473684,0,0,0,0,0.4,9.133,46.9555,0.0369921755595907,1.27893500102316,16.3829855498415,0.00827170191868511,0.285978560109154,3.66334693638424,ES,ES.A,180.45,0,182.3,0,0,362.75,182.3,180.45,51.0113248520159,0,66.6555166114317,0,0,66.6555166114317,51.0113248520159,11.4064789991432,0,14.9046266218528,0,0,14.9046266218528,11.4064789991432,1.84127966347368,36.4637203210526,0.201932246113817,0.201932246113817,0.0463264344343322,0.533902004407915
ES,ES.B,B,Cobb Bay,Atlantic,West.Atlantic,2014,37.31855,-75.789076,1,June,2014-06-25,27.7,35.64,14.683,Shallow.Subtidal,NA,NA,NA,NA,1,5.64,0.0266,,472.689075625,90.1941597988163,20.1680272483632,9.27846754697053,0.674570734034958,7.09400377355581,3.42645885392219,3.29675291006772,0.129705943854474,3.17158575111711,0.674570734034958,1.50989303937976,1.01241632463631,0.172321210667114,0.949670235639039,0.617509193723603,0.617091100976594,0.112565220083737,0.52724607579142,0.172321210667114,0.425811576585171,4.29531869120576,0.73109697962995,4.02910958106834,2.61986962996198,2.61809581266253,0.4775737826818,2.23691565327666,0.73109697962995,1.80656551986666,21.598588440806,4.35904699611325,12.0545753197482,0.934035031676462,0.899237893617558,0.034797138058904,11.1205402880717,4.35904699611325,5.18496612494452,3.57182122024057,2.66003084088828,2.51727978413758,0.221076829407204,0.214328174996417,0.0319085039580823,2.52682548057935,2.66003084088828,1.93844520387384,15.1539540361087,11.2855550745447,10.6799136330449,0.937949551422333,0.909317435635821,0.135376317157667,10.7204125931557,11.2855550745447,8.22412649170641,3.8,0.387977210399623,1.73508683234859,9,0.0289727234512115,0.00987262994175078,0.00220758716664545,0,0,0,0.0289727234512115,0.00987262994175078,0.00220758716664545,NA,0.8,NA,0,0.95,0.722222222222222,NA,0.0917662935482247,NA,0,0.05,0.108632484565978,0,0,0,0.4379,12.148,57.4065,0.0462463654332908,0.890455826499759,5.40279486640212,0.0103410016821135,0.199111975901422,1.2081016589762,ES,ES.B,102.55,0,131.85,0,0,234.4,131.85,102.55,39.1978449998412,0,47.3300561010265,0,0,47.3300561010265,39.1978449998412,8.76490459911452,0,10.5833222820774,0,0,10.5833222820774,8.76490459911452,1.84840051126316,36.8433279736842,0.240520684463656,0.240520684463656,0.0551792293372794,0.361242822503657
FI,FI.A,A,Fårö,Atlantic,East.Pacific,2014,59.92025,21.7961833333333,1,June,2014-06-18,14,6.5,19,Subtidal,2.5,3.67,96.33,0,0.11,1.29,-0.8,,206.900942191,79.6610069884019,17.8127426782153,183.488613326042,182.390927778284,1.09768554775801,0.509975565212447,0.509975565212447,0,0.587709982545559,182.390927778284,0,45.2908087940055,45.3560787574947,0.191984297020944,0.147312631863387,0.147312631863387,0,0.121199006649464,45.3560787574947,0,202.546654438683,202.838550589185,0.858579877502683,0.65880211758187,0.65880211758187,0,0.542018435347299,202.838550589185,0,63.517260114284,59.3566918012201,4.16056831306386,1.91735617031819,1.91735617031819,0,2.24321214274566,59.3566918012201,0,11.4002032689504,11.3422070559295,0.894840216113108,0.734915584330979,0.734915584330979,0,0.541024995220005,11.3422070559295,0,50.9832589333769,50.7238919838721,4.00184710445902,3.2866424085761,3.2866424085761,0,2.41953733367686,50.7238919838721,0,4.2,0.295581496465242,1.32188063797479,7,0.523106833324546,0.751231802458,0.167980537715578,0,0,0,0.523106833324546,0.751231802458,0.167980537715578,0.55,0,0.15,0,NA,0.0526315789473684,0.114132886537902,0,0.0819178021909125,0,NA,0.0526315789473684,"4,172.6527025","3,561.17751035721",796.303499310218,0.3425,6.390375,25.22625,0.0229128784747792,0.951191868339263,2.02016471123676,0.0051234753829798,0.212692967725162,0.451722562007164,FI,FI.A,88.65,0.825,30.775,0.95,99.375,219.625,31.725,89.475,57.867384687113,1.72653440528464,17.1605997625528,1.99275001733257,63.0663549888445,17.9901105874135,58.4534171258123,12.9395405840515,0.386064829570862,3.83722676037348,0.44559245009195,14.1020656848189,4.02271101961953,13.0705814210467,2.4592936039,40.783263588,0.245708848290388,0.245708848290388,0.0549421687450491,0.215578483135049
FI,FI.B,B,Ängsö,Atlantic,East.Pacific,2011,60.10785,21.70995,1,August,2014-08-28,17,6.5,14.5,Subtidal,3,6.34,92.12,1.54,0.11,1.41,-0.68,,466.322892785,182.49707897578,40.8075874284993,13.0035125192413,11.0016358508703,2.00187666837102,0.839117716600443,0.839117716600443,0,1.16275895177058,11.0016358508703,0,1.37630816977295,1.34826348876902,0.366003053317167,0.223880128655739,0.223880128655739,0,0.247292331684608,1.34826348876902,0,6.15503725120127,6.0296176249371,1.63681541437933,1.00122237297126,1.00122237297126,0,1.10592492792242,6.0296176249371,0,19.0136181623379,12.8257630357437,6.18785512659417,1.8927837111877,1.8927837111877,0,4.29507141540647,12.8257630357437,0,2.05641330430576,1.70612703879341,1.26086615234866,0.557972716221579,0.557972716221579,0,0.984137884440006,1.70612703879341,0,9.19655987652528,7.63003207398496,5.63876485436043,2.4953298461233,2.4953298461233,0,4.40119841768137,7.63003207398496,0,3.9,0.280037591461537,1.25236618152662,9,0.0181849951346093,0.00853144418229562,0.00190768891378581,0,0,0,0.0181849951346093,0.00853144418229562,0.00190768891378581,0.25,0,0.1,0,NA,0.05,0.0993399267798783,0,0.0688247201611685,0,NA,0.05,11.9415265,10.3965312679634,2.32473506453681,0.3245,6.58,30.827,0.0347131099154196,1.03639049742744,4.70146796784064,0.00776208734813001,0.231743960348257,1.05128019701295,FI,FI.B,68.85,0,45.825,7.05,0.375,115.05,52.875,68.85,20.6634052321846,0,15.8722490364058,8.68589297896913,1.67705098312484,19.2325621633838,20.6634052321846,4.62047787457896,0,3.54914278012089,1.94222471462631,0.375,4.30053163788165,4.62047787457896,2.06128189565,39.751194191,0.123575455598552,0.123575455598552,0.0276323119068868,0.198002361185643
