"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p.adj","otu","domain","phylum","class","order","family","genus","sp","highest","group","mean.N"
"2471826",102.692124584015,5.63866908516408,0.644303668699132,59.0321412831722,1.55117406870945e-14,2.57960247626381e-11,3.0542617412889e-11,"2471826","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae",NA,NA,"999","Above.L",5760.07630798159
"817600",212.076567779474,-6.94157661060568,0.744364762913754,45.5326982891302,1.5011182000234e-11,9.53962304904298e-09,1.12949595812181e-08,"817600","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Candidatus Portiera",NA,"999","Below.L",24255.7252139922
"774258",156.029257509377,-5.65699734756893,0.648018496876294,45.2650631756028,1.72091816879909e-11,9.53962304904298e-09,1.12949595812181e-08,"774258","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae",NA,NA,"999","Below.L",18238.4473907933
"351207",6.57452349736164,-9.57907421255075,0.938886583642157,44.6205696789493,2.39165726901950e-11,9.94331509594859e-09,1.17729329067485e-08,"351207","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA,"999","Below.L",644.646041844098
"354554",4.38142629373382,-10.1179401910578,1.01539772631297,42.4736945894385,7.16392616224303e-11,2.38272184156203e-08,2.82115412269131e-08,"354554","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae",NA,NA,"999","Below.L",574.993204036352
"593801",3.19078759537035,-10.0770633612705,1.05555102727324,39.8037425796576,2.80806508135605e-10,7.45733967158618e-08,8.82952604531159e-08,"593801","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Candidatus Portiera",NA,"999","Below.L",417.437984092368
"800299",10.8925890495231,-8.94378684993844,0.946719763649656,39.5861672655335,3.13898843662677e-10,7.45733967158618e-08,8.82952604531159e-08,"800299","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,"999","Below.L",1269.82472271587
"592269",149.272885699263,-7.34737167123638,0.833783216392085,39.1504080323439,3.92381250505533e-10,8.15662524488378e-08,9.65748352806744e-08,"592269","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,"999","Below.L",18694.1695949385
"734330",2.57283503802364,-10.8467326392056,1.16387225840635,38.7700734850295,4.76781806978248e-10,8.8098682778314e-08,1.04309264215574e-07,"734330","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,"999","Below.L",306.042363793336
"764684",1.25222593280735,-9.80791023718742,1.10724673883148,38.5017399674192,5.47048915769485e-10,9.09742346924653e-08,1.07713931515012e-07,"764684","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Candidatus Portiera",NA,"999","Below.L",150.656485425318
