"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p.adj","otu","domain","phylum","class","order","family","genus","sp","highest","group","mean.N"
"279524",783.460493809658,6.69775366336955,0.26182037011142,403.366300340702,1.01892205169336e-89,6.18383793172703e-86,6.4334738343919e-86,"279524","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae",NA,NA,"999","Above.R",12152.8359227817
"734615",424.80914686759,4.86525658288765,0.240010314724218,300.454054582098,2.62330275606713e-67,7.96041221328571e-64,8.28176680090393e-64,"734615","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiaceae",NA,NA,"999","Above.R",6895.96011072702
"545618",388.784545910801,-3.66805391290219,0.206786820321129,252.029697098979,9.37463612767313e-57,1.89648888862827e-53,1.97304841700427e-53,"545618","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfococcus",NA,"999","Below.R",15063.8103085716
"277566",275.284411594335,6.58258201176087,0.329251681798397,249.015963197974,4.25569245356056e-56,6.45694937516476e-53,6.71761053794535e-53,"277566","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter",NA,"999","Above.R",4783.76768804783
"680205",1440.42880675865,5.77380154395134,0.308327485282403,235.28858391878,4.18838143619961e-53,5.08385738725909e-50,5.28908807763287e-50,"680205","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurimonas",NA,"999","Above.R",18969.0756527888
"3208272",476.248397373793,4.04844587728481,0.235968029197694,232.435691634269,1.75457019799876e-52,1.77474775527574e-49,1.84639270502736e-49,"3208272","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,"999","Above.R",8405.60058864545
"730193",261.688865769095,-3.60870542755124,0.214004239699496,229.057667561112,9.56866545863208e-52,8.29603295263401e-49,8.63093624368613e-49,"730193","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA,NA,"999","Below.R",10327.9725821619
"93747",234.678432000504,5.3608787169621,0.318768393694122,197.332127326746,7.98069184281672e-45,6.05435234925683e-42,6.29876103694309e-42,"93747","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"999","Above.R",4176.60704203267
"800415",661.655644706974,3.13371735940715,0.216242678277389,180.053237754336,4.71841748932904e-41,3.18178619363755e-38,3.31023200306929e-38,"800415","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA,"999","Above.R",11774.3573320242
"792011",229.471231167229,-3.45050178872438,0.236502667356009,174.002188082113,9.88795803521346e-40,6.00100173157105e-37,6.24325670343378e-37,"792011","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,"999","Below.R",9011.70937672695
"816184",225.308499572763,-3.14624953438536,0.224760882971146,164.683409858459,1.07267656059418e-37,5.91824913295098e-35,6.15716345781059e-35,"816184","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae",NA,NA,"999","Below.R",9479.13358616465
"342977",108.070206068028,-3.65871363820233,0.25700941751006,162.529757055739,3.16922530615841e-37,1.60283569858962e-34,1.66754071525702e-34,"342977","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfococcus",NA,"999","Below.R",4009.14741795439
"594353",170.657463239604,-3.80806355069889,0.269678072920983,157.640899859242,3.7077168822274e-36,1.73093336601832e-33,1.80080956879875e-33,"594353","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA,NA,"999","Below.R",7041.16718353217
"549640",244.677383592572,5.01083141720741,0.345409755650395,151.766151416768,7.12747367729746e-35,3.08975983910845e-32,3.21449062846115e-32,"549640","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Winogradskyella","thalassocola","999","Above.R",4012.08275587765
"568472",153.85630069963,-3.38735614360197,0.250579312065467,150.25843212411,1.52220426278345e-34,6.15883844722185e-32,6.40746514347648e-32,"568472","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA,NA,"999","Below.R",5823.94308046657
"1111653",128.562789853767,4.58492299126758,0.328260564573564,146.498505661358,1.01009360712027e-33,3.83141131350808e-31,3.98608189709837e-31,"1111653","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurimonas","autotrophica","999","Above.R",2386.61538132932
"774941",602.232284710367,2.6028534355418,0.203823276950833,146.046822255965,1.26795867480639e-33,4.5266124690588e-31,4.70934768983972e-31,"774941","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfotalea",NA,"999","Above.R",11480.3028777407
"4432632",49.2921244408126,4.84200967948165,0.344374634208844,144.953139223488,2.19890209592671e-33,7.41396490009956e-31,7.71325990760069e-31,"4432632","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,"999","Above.R",888.137741208811
"4345840",113.53180852325,4.0693260988789,0.300984671281302,144.079944420208,3.41281087691201e-33,1.09012364273573e-30,1.13413094088539e-30,"4345840","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,"999","Above.R",2091.62690759706
"1106939",356.465882683814,6.22684546127906,0.420940950498976,140.788616282522,1.78963691285795e-32,5.43065321206745e-30,5.64988373389255e-30,"1106939","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurimonas",NA,"999","Above.R",5867.00956584682
"1106925",291.511388050117,-4.00857410991056,0.299183272562192,139.210562899133,3.96140059132704e-32,1.10589671385241e-29,1.15054075651081e-29,"1106925","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA,"999","Below.R",10250.247214756
"575734",143.174550681419,6.43599819024467,0.433473535108806,139.186915482553,4.0088528101422e-32,1.10589671385241e-29,1.15054075651081e-29,"575734","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA,NA,"999","Above.R",2467.75363001386
"573260",129.807807537531,6.93881833272698,0.459126624754289,137.834921492537,7.91939296062182e-32,2.08968677730495e-29,2.17404552840722e-29,"573260","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurimonas",NA,"999","Above.R",1757.24580073529
"1123523",106.186718087353,4.48209713286942,0.339130251913757,132.453718376585,1.19049984545344e-30,3.01047648419039e-28,3.1320066767471e-28,"1123523","Bacteria","Verrucomicrobia","Opitutae","[Pelagicoccales]","[Pelagicoccaceae]","Pelagicoccus",NA,"999","Above.R",1936.68397363582
