"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"8","Lipoamide","TPP"
"9","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"10","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"11","2-Methyl-1-hydroxypropyl-TPP","TPP"
"12","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"13","TPP","Lipoamide"
"14","TPP","2-Methyl-1-hydroxypropyl-TPP"
"15","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"16","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"17","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"18","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"19","PRPP","PPi"
"20","PRPP","H+"
"21","PRPP","IMP"
"22","HYXN","PPi"
"23","HYXN","H+"
"24","HYXN","IMP"
"25","H+","Adenosine"
"26","H+","Adenosine"
"27","Adenosine","H+"
"28","Adenosine","H+"
"29","H2O","LacCer"
"30","H2O","Galactose"
"31","H2O","Glucocerebroside"
"32","LacCer","H2O"
"33","LacCer","Galactose"
"34","LacCer","Glucocerebroside"
"35","Galactose","H2O"
"36","Galactose","LacCer"
"37","Galactose","Glucocerebroside"
"38","Glucocerebroside","H2O"
"39","Glucocerebroside","LacCer"
"40","Glucocerebroside","Galactose"
"41","Acetyl-CoA","CoA"
"42","Acetyl-CoA","O-Acetyl-L-serine"
"43","L-Serine","CoA"
"44","L-Serine","O-Acetyl-L-serine"
"45","ATP","CMP"
"46","ATP","H+"
"47","ATP","ADP"
"48","ATP","CDP"
"49","CMP","ATP"
"50","CMP","H+"
"51","CMP","ADP"
"52","CMP","CDP"
"53","H+","ATP"
"54","H+","CMP"
"55","H+","ADP"
"56","H+","CDP"
"57","ADP","ATP"
"58","ADP","CMP"
"59","ADP","H+"
"60","ADP","CDP"
"61","CDP","ATP"
"62","CDP","CMP"
"63","CDP","H+"
"64","CDP","ADP"
"65","H+","Fumarate"
"66","H+","Fumarate"
"67","Fumarate","H+"
"68","Fumarate","H+"
"69","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"70","UDP-N-acetylglucosamine","UDP"
"71","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"72","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"73","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"74","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"75","UDP","UDP-N-acetylglucosamine"
"76","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"77","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"78","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"79","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"80","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"81","H2O","Pyruvate"
"82","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"83","Isochorismate","Pyruvate"
"84","Isochorismate","2,3-Dihydroxy-2,3-dihydrobenzoate"
"85","ATP","PPi"
"86","ATP","AMP"
"87","ATP","fa6coa"
"88","CoA","PPi"
"89","CoA","AMP"
"90","CoA","fa6coa"
"91","fa6","PPi"
"92","fa6","AMP"
"93","fa6","fa6coa"
"94","NADH","NAD"
"95","NADH","7-methyl-octanoyl-ACP"
"96","H+","NAD"
"97","H+","7-methyl-octanoyl-ACP"
"98","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"99","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"100","ATP","dCDP"
"101","ATP","ADP"
"102","ATP","dCTP"
"103","dCDP","ATP"
"104","dCDP","ADP"
"105","dCDP","dCTP"
"106","ADP","ATP"
"107","ADP","dCDP"
"108","ADP","dCTP"
"109","dCTP","ATP"
"110","dCTP","dCDP"
"111","dCTP","ADP"
"112","UDP-N-acetylglucosamine","Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted"
"113","UDP-N-acetylglucosamine","UDP"
"114","UDP-N-acetylglucosamine","Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine"
"115","Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted","UDP-N-acetylglucosamine"
"116","Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted","UDP"
