,Sediment,Water,Unknown,type
QUL1.1,0.0396471694800361,0.94280408058496,0.017548749935004,Leaf
NCL2.6,0.16415970003714,0.286908089832869,0.548932210129991,Leaf
NCL2.20,0.236861652265552,0.226183832441968,0.53695451529248,Leaf
MAL1.1,0.0197771601671301,0.666388116555247,0.313834723277623,Leaf
MAL1.20,0.0269266409470741,0.302228401764159,0.670844957288767,Leaf
VAL1.20,0.020984219563602,0.910584941773446,0.0684308386629521,Leaf
VAL1.1,0.10167130913649,0.790807801903436,0.107520888960074,Leaf
QUL1.20,0.0454039080687082,0.939739992451256,0.0148560994800361,Leaf
NCL1.6,0.00714948979572803,0.0568245094986062,0.936026000705666,Leaf
NCL2.1,0.122655512246981,0.197400184215413,0.679944303537606,Leaf
VAL1.6,0.024605399897864,0.957474450269267,0.017920149832869,Leaf
ESL2.6,0.0252553209192191,0.952274878365833,0.0224698007149481,Leaf
VAL2.6,0.0311049193779011,0.91745588163417,0.0514391989879291,Leaf
VAL2.20,0.021727019712163,0.871773431346333,0.106499548941504,Leaf
ESL1.1,0.0212627607985131,0.970287868969363,0.00844937023212404,Leaf
ESL2.1,0.0735376086908071,0.876694502274839,0.0497678890343541,Leaf
QUL2.1,0.0363045508077982,0.938718668783661,0.0249767804085411,Leaf
ESL1.6,0.0245125212534801,0.96973077848654,0.00575670025998003,Leaf
QUL1.6,0.03249767,0.95143918,0.01606315,Leaf
MAL2.6,0.0899721309935001,0.214206141884865,0.695821727121635,Leaf
NCL1.1,0.0171773498328681,0.97353759039926,0.00928505976787204,Leaf
QUL2.20,0.018570110343546,0.977715889600744,0.00371400005571001,Leaf
VAL2.1,0.0904364118662952,0.844939646880224,0.0646239412534811,Leaf
ESL2.20,0.0917363109563593,0.886815228830086,0.0214484602135551,Leaf
ESL1.20,0.0597957286629522,0.930919211559891,0.00928505977715704,Leaf
QUL2.6,0.0428040883751152,0.946796632079855,0.0103992795450301,Leaf
