,Sediment,Water,Unknown,type
KOL1.20,0.0588672096564522,0.677065923240484,0.264066867103064,Leaf
KOL1.1,0.573259059842155,0.270287840297121,0.156453099860724,Leaf
JNL2.20,0.228597939916434,0.565831020102136,0.20557103998143,Leaf
JSL1.20,0.351810576991643,0.261188485320334,0.387000937688023,Leaf
KOL1.6,0.437883008662953,0.294800375961003,0.267316615376045,Leaf
JNL1.6,0.08198702,0.12181987,0.79619311,Leaf
KOL2.20,0.436675944531105,0.243454042219127,0.319870013249768,Leaf
KOL2.6,0.27158776,0.18291551,0.54549673,Leaf
JNL2.6,0.287836581624884,0.376230255069638,0.335933163305478,Leaf
JNL1.1,0.0607242311699161,0.138440102878365,0.800835665951719,Leaf
JNL1.20,0.037140189656453,0.134726098616527,0.82813371172702,Leaf
JSL2.6,0.00417825003714,0.705199646963789,0.290622102999071,Leaf
