,Sediment,Water,Unknown,type
UKR1.1,0.565643579445546,0.260891088425742,0.173465332128712,Roots
SWR1.1,0.711980202772278,0.161386108584158,0.126633688643564,Roots
UKR2.6,0.258415832663366,0.544752485574258,0.196831681762377,Roots
POR1.1,0.58970296,0.27643562,0.13386142,Roots
POR1.6,0.626039604564357,0.255643550168316,0.118316845267326,Roots
POR2.6,0.433168344534653,0.387524743821782,0.179306911643564,Roots
POR2.1,0.59148514,0.20227723,0.20623763,Roots
UKR2.20,0.301089109188119,0.53980200039604,0.159108890415841,Roots
SWR1.20,0.71564358,0.17207918,0.11227724,Roots
SWR2.1,0.541089083564358,0.239702987970296,0.219207928465346,Roots
POR2.20,0.3762376,0.42396042,0.19980198,Roots
SWR2.20,0.751782140346536,0.107128715514851,0.141089144138613,Roots
POR1.20,0.764554422554456,0.110495058811881,0.124950518633663,Roots
UKR1.6,0.632871316514852,0.189009891841584,0.178118791643564,Roots
UKR1.20,0.433267340257426,0.362772260168316,0.203960399574258,Roots
UKR2.1,0.52405943,0.29881188,0.17712869,Roots
SWR1.6,0.439405955544554,0.404356435920792,0.156237608534653,Roots
SWR2.6,0.328811886940594,0.447425732267327,0.223762380792079,Roots
