,Sediment,Water,Unknown,type
FIR2.20,0.520792063207923,0.0424752573663343,0.436732679425743,Roots
BCR1.20,0.376534644613861,0.549009932584159,0.0744554228019793,Roots
BBR1.6,0.29039603,0.60188119,0.10772278,Roots
ORR2.6,0.194356427950495,0.676534633524753,0.129108938524752,Roots
SDR2.20,0.568118805752476,0.243564372861386,0.188316821386139,Roots
WAR2.6,0.444851498277228,0.47425742869307,0.0808910730297023,Roots
ORR1.6,0.31821784,0.59138613,0.09039603,Roots
SFR2.6,0.80475248,0.10702971,0.08821781,Roots
FRR2.6,0.415544565544554,0.466633635594059,0.117821798861386,Roots
MXR2.6,0.798910912663371,0.0531683021683144,0.147920785168315,Roots
FRR1.1,0.143564381554455,0.483168314742574,0.37326730370297,Roots
MXR1.6,0.492079204623762,0.436633694574257,0.0712871008019801,Roots
ORR2.20,0.385742566613861,0.507920794584159,0.10633663880198,Roots
SFR1.6,0.494158404019802,0.16366336891089,0.342178227069307,Roots
BCR2.6,0.27762374,0.60188119,0.12049507,Roots
BCR2.1,0.28752474,0.60861387,0.10386139,Roots
BCR1.6,0.162277208643563,0.633762393653466,0.203960397702971,Roots
FIR2.6,0.548217803039605,0.0159406091881181,0.435841587772277,Roots
FIR2.1,0.440495057980198,0.0481188178514832,0.511386124168319,Roots
BBR2.6,0.63356435089109,0.25316831270297,0.11326733640594,Roots
SFR2.1,0.58336632,0.30861387,0.10801981,Roots
ORR1.1,0.544158431118812,0.36722771719802,0.0886138516831682,Roots
IRR1.20,0.561584141069307,0.339504967128713,0.0989108918019802,Roots
SDR2.1,0.323960403851485,0.405742583237624,0.270297012910891,Roots
SDR1.1,0.320495053277228,0.559009879128713,0.120495067594059,Roots
MXR2.20,0.753861418108913,0.0617821528910873,0.184356429,Roots
SFR1.1,0.533762369089109,0.351782173178218,0.114455457732673,Roots
MXR1.1,0.53079211,0.38099008,0.08821781,Roots
SFR2.20,0.850693044792081,0.101089106554455,0.0482178486534641,Roots
IRR2.6,0.422772295673267,0.46277224550495,0.114455458821782,Roots
BBR2.20,0.544950478148516,0.317326730158416,0.137722791693068,Roots
BBR2.1,0.565841554524753,0.329207946653465,0.104950498821782,Roots
IRR1.1,0.301188116861386,0.566039574584159,0.132772308554455,Roots
FRR1.20,0.10316832,0.81316833,0.08366335,Roots
SFR1.20,0.686039613554458,0.0555445612079192,0.258415825237623,Roots
IRR1.6,0.460297031217822,0.43435643109901,0.105346537683168,Roots
FRR2.20,0.145346533326732,0.628415828207922,0.226237638465346,Roots
SDR1.20,0.41891091,0.50900991,0.07207918,Roots
MXR1.20,0.161485127277227,0.725445555306931,0.113069317415841,Roots
BCR1.1,0.281881186584159,0.649108939534655,0.0690098738811864,Roots
WAR2.1,0.33603961420792,0.576336632574258,0.0876237532178213,Roots
ORR1.20,0.646534683435644,0.293069305405941,0.0603960111584151,Roots
BBR1.1,0.0181188286930681,0.832673241445548,0.149207929861384,Roots
MXR2.1,0.691287129138614,0.134059420485148,0.174653450376237,Roots
ORR2.1,0.356039608009901,0.560891098138615,0.0830692938514844,Roots
IRR2.1,0.4147524639901,0.446237613950496,0.139009922059404,Roots
BBR1.20,0.253861387653465,0.654950499732674,0.0911881126138613,Roots
SDR2.6,0.20831684,0.48801979,0.30366337,Roots
FRR1.6,0.144455437316831,0.743465345099011,0.112079217584158,Roots
SDR1.6,0.349702966930693,0.391287125158416,0.259009907910891,Roots
WAR2.20,0.364554440742574,0.588514857673269,0.0469307015841572,Roots
FRR2.1,0.0178217988712861,0.932574233980202,0.0496039671485123,Roots
