,Sediment,Water,Unknown,type
NCR2.6,0.5980198,0.09297029,0.30900991,Roots
ESR1.1,0.761980197564357,0.147623771663366,0.0903960307722771,Roots
VAR2.20,0.176039588564356,0.806831681643565,0.017128729792079,Roots
NCR1.6,0.51326734,0.21257427,0.27415839,Roots
ESR2.1,0.529405944534654,0.161188108594059,0.309405946871287,Roots
ESR1.6,0.518613858435644,0.156435637752475,0.324950503811881,Roots
NCR2.1,0.53356439,0.17217819,0.29425742,Roots
ESR1.20,0.606930705564357,0.216831692643564,0.176237601792079,Roots
ESR2.6,0.702970313326735,0.143168313514851,0.153861373158415,Roots
MAR1.1,0.729801973049507,0.150693063336633,0.119504963613861,Roots
MAR1.20,0.138415843376237,0.136930713158415,0.724653443465349,Roots
MAR2.6,0.701188118861389,0.0497029704158393,0.249108910722771,Roots
MAR2.1,0.797128701722773,0.036336669732673,0.166534628544554,Roots
LIR2.1,0.756138653544557,0.184554452326732,0.0593068941287104,Roots
VAR2.6,0.54415841,0.34811881,0.10772278,Roots
QUR1.6,0.268910900485148,0.656237636475249,0.0748514630396033,Roots
LIR2.6,0.516930688455447,0.43574257218812,0.0473267393564333,Roots
NCR1.1,0.550792075099011,0.144950498851484,0.304257426049506,Roots
LIR1.20,0.138811875752474,0.842772264782179,0.0184158594653461,Roots
VAR1.1,0.539702991247525,0.381089107188119,0.0792079015643562,Roots
NCR2.20,0.391089111148515,0.25673265790099,0.352178230950495,Roots
ESR2.20,0.38297028749505,0.535940621069307,0.0810890914356431,Roots
MAR2.20,0.71524754,0.080198,0.20455446,Roots
LIR1.1,0.516633659297031,0.433168321564357,0.0501980191386122,Roots
QUR1.1,0.309405936633663,0.483366335564356,0.20722772780198,Roots
QUR1.20,0.596633648079208,0.300495064079208,0.102871287841584,Roots
LIR1.6,0.388514835643564,0.584950484574258,0.026534679782178,Roots
LIR2.20,0.838415860069308,0.0609900800990091,0.100594059831683,Roots
QUR2.1,0.46198018819802,0.509801963247526,0.0282178485544541,Roots
QUR2.20,0.49267323939604,0.469504941336634,0.0378218192673261,Roots
QUR2.6,0.445742552524753,0.516534639079209,0.0377228083960382,Roots
VAR1.20,0.6250495009901,0.258910882762376,0.116039616247524,Roots
