,Sediment,Water,Unknown,type
JSR2.1,0.7388118509703,0.0273267576633642,0.233861391366336,Roots
KOR2.6,0.722673265178219,0.017326749574257,0.259999985247524,Roots
JSR2.6,0.68762375,0.02297032,0.28940593,Roots
KOR2.20,0.0356436,0.00633664,0.95801976,Roots
JSR1.1,0.332376239990099,0.0315841690396031,0.636039590970298,Roots
KOR1.1,0.52910892909901,0.00970297971287103,0.461188091188119,Roots
JNR1.6,0.48554454,0.03178221,0.48267325,Roots
JSR2.20,0.56811878,0.0128713,0.41900992,Roots
JNR1.1,0.630693050940595,0.0222772492772271,0.347029699782178,Roots
JNR1.20,0.602673263267328,0.0388119097623751,0.358514826970297,Roots
JNR2.20,0.462970298712872,0.189801976970297,0.347227724316831,Roots
JSR1.20,0.27504948,0.01277229,0.71217823,Roots
KOR2.1,0.377128703118812,0.0225742794257421,0.600297017455446,Roots
KOR1.6,0.4108911,0.02356438,0.56554452,Roots
JSR1.6,0.557029679019802,0.016831699633663,0.426138621346535,Roots
JNR2.1,0.6474257699901,0.0596039319009883,0.292970298108911,Roots
JNR2.6,0.659702947138614,0.0283168494554451,0.311980203405941,Roots
KOR1.20,0.0670296805643561,0.500990104722773,0.431980214712871,Roots
