r2	p	sample.type	covariate	p.adjust
0.0488621745705243	0.125	Leaf	genotype.richness	0.125
0.0250095012858955	0.037	Roots	genotype.richness	0.0493333333333333
0.0250095012858955	0.03	Sediment	genotype.richness	0.0493333333333333
0.0373764161340844	0.006	Water	genotype.richness	0.024
0.0548611288716566	0.14	Leaf	longest.leaf.cm	0.52
0.0210926248376219	0.476	Roots	longest.leaf.cm	0.52
0.0210926248376219	0.52	Sediment	longest.leaf.cm	0.52
0.0323699517357603	0.501	Water	longest.leaf.cm	0.52
0.0279078554300124	0.382	Leaf	zmarina.above.biomass	0.382
0.0222526768329608	0.002	Roots	zmarina.above.biomass	0.00266666666666667
0.0222526768329608	0.002	Sediment	zmarina.above.biomass	0.00266666666666667
0.0588782110154801	0.001	Water	zmarina.above.biomass	0.00266666666666667
0.0413833883614734	0.047	Leaf	zmarina.below.biomass	0.188
0.0180391599580864	0.886	Roots	zmarina.below.biomass	0.886
0.0180391599580864	0.877	Sediment	zmarina.below.biomass	0.886
0.0301590646866296	0.53	Water	zmarina.below.biomass	0.886
0.0544272205300395	0.061	Leaf	mean.zmarina.shoots.m2	0.061
0.0231584740093486	0.034	Roots	mean.zmarina.shoots.m2	0.0453333333333333
0.0231584740093486	0.028	Sediment	mean.zmarina.shoots.m2	0.0453333333333333
0.0406207997945315	0.012	Water	mean.zmarina.shoots.m2	0.0453333333333333
0.0232415402306267	0.138	Leaf	mean.mesograzer.b	0.138
0.0188521852385117	0.007	Roots	mean.mesograzer.b	0.014
0.0188521852385117	0.007	Sediment	mean.mesograzer.b	0.014
0.0174935705186352	0.082	Water	mean.mesograzer.b	0.109333333333333
0.0195640066514725	0.433	Leaf	std.crustacean.b	0.433
0.0131906236943164	0.173	Roots	std.crustacean.b	0.272
0.0131906236943164	0.204	Sediment	std.crustacean.b	0.272
0.0261483351196075	0.095	Water	std.crustacean.b	0.272
0.0289805650242811	0.48	Leaf	mean.macroalgae	0.48
0.0140894731187385	0.208	Roots	mean.macroalgae	0.277333333333333
0.0140894731187385	0.201	Sediment	mean.macroalgae	0.277333333333333
0.0227423452197707	0.047	Water	mean.macroalgae	0.188
