"","Sediment","Water","Unknown"
"QU.A.Leaf",0.0088,0.9786,0.0126
"FI.A.Roots",0.1366,0.0069,0.8565
"BC.A.Roots",0.2382,0.2036,0.5582
"BB.A.Roots",0.1375,0.0557,0.8068
"OR.B.Roots",0.2151,0.0717,0.7132
"UK.A.Roots",0.5422,0.1855,0.2723
"SW.A.Roots",0.5208,0.0472,0.432
"SD.B.Roots",0.2411,0.0674,0.6915
"NC.B.Leaf",0.0403,0.2589,0.7008
"NC.B.Roots",0.2961,0.0927,0.6112
"WA.B.Roots",0.2622,0.0409,0.6969
"OR.A.Roots",0.5367,0.1907,0.2726
"SF.B.Roots",0.2587,0.0225,0.7188
"FR.B.Roots",0.1929,0.5624,0.2447
"ES.A.Roots",0.3984,0.3535,0.2481
"MX.B.Roots",0.5476,0.0298,0.4226
"FR.A.Roots",0.1467,0.5153,0.338
"UK.B.Roots",0.2541,0.0432,0.7027
"VA.B.Roots",0.138,0.7779,0.0841
"NC.A.Roots",0.4437,0.0791,0.4772
"ES.B.Roots",0.3522,0.4955,0.1523
"PO.A.Roots",0.6262,0.0256,0.3482
"MX.A.Roots",0.2448,0.0315,0.7237
"JS.B.Roots",0.6324,0.0483,0.3193
"KO.B.Roots",0.1077,0.0209,0.8714
"PO.B.Roots",0.3894,0.037,0.5736
"BB.B.Leaf",0.4182,0.4203,0.1615
"JS.A.Roots",0.1922,0.0233,0.7845
"SF.A.Roots",0.2248,0.0121,0.7631
"KO.A.Roots",0.1537,0.1915,0.6548
"MA.A.Roots",0.0418,0.0155,0.9427
"BC.B.Leaf",0.0096,0.8901,0.1003
"BC.A.Leaf",0.0149,0.2783,0.7068
"MA.A.Leaf",0.0089,0.0626,0.9285
"MA.B.Roots",0.5734,0.0857,0.3409
"BC.B.Roots",0.0896,0.1421,0.7683
"LI.B.Roots",0.3783,0.5853,0.0364
"VA.A.Leaf",0.007,0.9497,0.0433
"JN.A.Roots",0.2493,0.0337,0.717
"KO.A.Leaf",0.2601,0.4544,0.2855
"BB.B.Roots",0.5947,0.2153,0.19
"SF.B.Leaf",0.0497,0.3948,0.5555
"QU.A.Roots",0.134,0.7381,0.1279
"NC.A.Leaf",0.0069,0.5349,0.4582
"JN.B.Leaf",0.1032,0.4293,0.4675
"JN.B.Roots",0.3427,0.103,0.5543
"IR.A.Roots",0.499,0.1746,0.3264
"ES.B.Leaf",0.0159,0.9572,0.0269
"SD.A.Roots",0.3335,0.1335,0.533
"LI.A.Roots",0.0659,0.909,0.0251
"VA.A.Roots",0.1849,0.7292,0.0859
"IR.B.Roots",0.466,0.0884,0.4456
"SW.B.Roots",0.1802,0.0277,0.7921
"VA.B.Leaf",0.0095,0.9157,0.0748
"BB.A.Leaf",0.0951,0.165,0.7399
"ES.A.Leaf",0.0071,0.9862,0.0067
"JN.A.Leaf",0.0488,0.0823,0.8689
"KO.B.Leaf",0.126,0.2794,0.5946
"QU.B.Leaf",0.0056,0.991,0.0034
"QU.B.Roots",0.1941,0.7823,0.0236
"WA.B.Leaf",0.0472,0.29,0.6628
"SF.A.Leaf",0.0025,0.7614,0.2361
