Row number 	Query_Otu_ID 	Species_ID 	Percent_ID
0 	100901 	1123326.4 	98.28
1 	100910 	573413.5 	78.52
2 	1013670 	1177117.3 	96.18
3 	103241 	1123274.3 	85.61
4 	10442 	1121451.3 	96.37
5 	10444 	1121451.3 	95.57
6 	1044611 	796939.3 	93.74
7 	1046269 	1236540.3 	86.94
8 	1048020 	880526.4 	79.55
9 	1048112 	349521.8 	91.89
10 	105157 	944547.4 	94.03
11 	1057747 	547558.18 	95.55
12 	105940 	866895.3 	82.21
13 	1065011 	869213.4 	23.62
14 	1065817 	28229.4 	1.43
15 	106877 	1123274.3 	85.42
16 	1070477 	1346330.5 	10.84
17 	1072513 	370622.3 	95.43
18 	107660 	293826.6 	89.44
19 	10830 	1121402.3 	93.86
20 	1083335 	1236540.3 	89.32
21 	10865 	1121405.3 	92.49
22 	1091363 	1132855.3 	93.71
23 	10923 	879212.3 	96.84
24 	10926 	879212.3 	96.34
25 	109271 	637616.3 	91.30
26 	109272 	1167006.5 	93.54
27 	109273 	1167006.5 	94.10
28 	109274 	1167006.5 	90.58
29 	109277 	862908.3 	90.74
30 	10938 	177437.4 	95.47
31 	1097208 	1193576.3 	97.02
32 	1098051 	491205.5 	97.12
33 	1105717 	177439.6 	92.84
34 	1106017 	391587.3 	31.41
35 	1106157 	1248727.3 	91.67
36 	1106862 	1572646.3 	87.68
37 	1106902 	1484460.3 	96.84
38 	1106939 	563040.3 	94.77
39 	1107088 	439235.4 	90.56
40 	1107152 	391598.3 	95.07
41 	1107339 	637616.3 	92.15
42 	1107691 	577650.3 	91.04
43 	1107711 	890399.3 	90.84
44 	1108100 	572480.3 	92.55
45 	1109080 	367737.6 	97.09
46 	1109254 	1536652.3 	94.66
47 	1109403 	326298.7 	94.84
48 	1109744 	755732.3 	93.28
49 	1110079 	1286106.3 	91.81
50 	1110281 	651182.5 	96.90
51 	11103 	563040.3 	95.28
52 	111106 	1416753.3 	84.52
53 	1111458 	350688.5 	88.60
54 	1111653 	563040.3 	98.54
55 	11162 	944547.4 	94.41
56 	11183 	572480.3 	93.24
57 	111887 	1167006.5 	92.89
58 	111965 	1167006.5 	95.47
59 	1120653 	886377.3 	93.90
60 	1121685 	350688.5 	90.91
61 	1123523 	382464.3 	96.55
62 	112751 	651182.5 	95.32
63 	1132384 	1042375.3 	93.19
64 	1134594 	691164.3 	84.45
65 	113991 	1123355.3 	95.58
66 	114012 	1121405.3 	90.28
67 	1141473 	1121447.3 	3.51
68 	1144849 	382464.3 	97.07
69 	1146213 	382464.3 	97.47
70 	1147164 	929558.5 	94.31
71 	126281 	1536652.3 	93.06
72 	131520 	167879.5 	31.19
73 	132111 	929558.5 	94.88
74 	133396 	1331007.4 	99.37
75 	134605 	563040.3 	94.13
76 	137834 	177439.6 	48.26
77 	139771 	439235.4 	91.71
78 	140460 	563040.3 	97.02
79 	140967 	388384.3 	95.67
80 	142117 	1286106.3 	92.90
81 	142147 	694427.4 	91.42
82 	143226 	519989.5 	90.46
83 	148618 	523791.5 	87.66
84 	149592 	1130343.3 	92.89
85 	1548015 	1208320.4 	95.10
86 	158084 	439235.4 	89.61
87 	159272 	765912.4 	92.65
88 	159759 	926569.3 	87.12
89 	159856 	439235.4 	91.92
90 	160200 	1442598.4 	8.86
91 	160220 	1402542.3 	89.47
92 	160928 	1454202.3 	97.71
93 	1615115 	765910.4 	93.62
94 	1643562 	387093.6 	94.49
95 	1643570 	563040.3 	92.86
96 	165239 	1121392.3 	92.15
97 	165553 	1047042.3 	83.16
98 	165797 	1049564.3 	91.33
99 	169282 	177439.6 	94.01
100 	171401 	583355.3 	87.48
101 	174634 	869213.4 	96.29
102 	175965 	1049564.3 	91.17
103 	176817 	944547.4 	94.39
104 	1853457 	869213.4 	24.41
105 	1878732 	349215.9 	87.80
106 	188243 	326298.7 	88.79
107 	189344 	926550.5 	84.66
108 	190209 	344747.3 	87.71
109 	195747 	910047.3 	83.37
110 	203149 	1121447.3 	0.00
111 	203451 	439235.4 	91.63
112 	205279 	1121399.3 	90.67
113 	2064399 	1121405.3 	90.75
114 	209624 	563040.3 	96.02
115 	2205004 	1117647.4 	93.50
116 	221237 	1236957.3 	94.56
117 	2214196 	1167006.5 	92.72
118 	223812 	1167006.5 	92.43
119 	227130 	344747.3 	80.91
120 	235713 	1286106.3 	91.39
121 	2366787 	765914.3 	90.51
122 	236783 	1286106.3 	90.61
123 	238821 	1484460.3 	95.28
124 	239634 	1286106.3 	90.57
125 	239833 	367737.6 	91.98
126 	240061 	572480.3 	92.72
127 	240658 	572480.3 	93.79
128 	241977 	637616.3 	92.71
129 	242018 	1144273.3 	99.28
130 	243192 	572480.3 	94.32
131 	243362 	944547.4 	93.94
132 	244006 	637616.3 	91.53
133 	244116 	1370122.3 	95.52
134 	244161 	1330035.3 	94.04
135 	244531 	1281779.3 	98.22
136 	2447701 	1131279.3 	86.68
137 	245113 	572480.3 	95.09
138 	245248 	350688.5 	89.09
139 	246017 	180332.3 	18.68
140 	246780 	1331007.4 	94.59
141 	2471826 	1132855.3 	95.28
142 	248432 	1208320.4 	94.57
143 	249636 	439235.4 	100.00
144 	249930 	439235.4 	91.82
145 	250174 	944547.4 	93.70
146 	251292 	572480.3 	95.02
147 	251914 	234831.3 	76.03
148 	252562 	1536652.3 	92.95
149 	252922 	177437.4 	93.30
150 	253178 	1286106.3 	91.33
151 	253460 	1286106.3 	89.89
152 	255382 	1517682.3 	82.45
153 	255507 	749222.3 	87.32
154 	256595 	203795.3 	93.51
