Row number 	Query_Otu_ID 	Species_ID 	Percent_ID
0 	1091363 	1132855.3 	93.71
1 	1109744 	755732.3 	93.28
2 	1110665 	1280948.3 	93.75
3 	1110773 	1049564.3 	92.24
4 	1116431 	1121104.3 	81.82
5 	118311 	1121948.3 	99.27
6 	145419 	313590.8 	100.00
7 	150023 	1122176.3 	87.52
8 	175965 	1049564.3 	91.17
9 	185015 	1121948.3 	95.71
10 	1864501 	1348853.3 	95.68
11 	190209 	344747.3 	87.71
12 	202817 	1122176.3 	90.15
13 	2471826 	1132855.3 	95.28
14 	259026 	1122179.3 	99.86
15 	2618271 	1007117.3 	90.50
16 	290158 	452471.5 	84.74
17 	3192521 	1049564.3 	91.95
18 	4215619 	1415778.3 	88.10
19 	4301923 	1122176.3 	86.99
20 	4326111 	1042375.3 	89.07
21 	4351545 	760192.3 	88.62
22 	4372683 	313603.6 	93.73
23 	4385909 	1231054.5 	89.10
24 	4406969 	1121374.3 	88.51
25 	44289 	1122179.3 	95.88
26 	539184 	1101193.3 	92.18
27 	543167 	314230.4 	88.03
28 	556389 	1049564.3 	91.60
29 	566103 	1122179.3 	96.85
30 	653071 	1502770.3 	95.37
31 	653874 	1237149.3 	90.24
32 	665721 	637616.3 	93.16
33 	681312 	760192.3 	88.59
34 	714004 	1122176.3 	87.20
35 	777498 	1506585.3 	96.24
36 	79990 	756272.5 	82.35
37 	802011 	58133.4 	89.68
38 	808758 	1088721.3 	96.49
